year,sector_1,sector_2,pearson_corr
2001,RealEstate,Communication,0.3326
2002,Technology,Financials,0.7148
2002,Technology,Healthcare,0.5852
2002,Technology,Energy,0.5286
2002,Technology,ConsumerDiscret,0.6919
2002,Technology,ConsumerStaples,0.4153
2002,Technology,Industrials,0.6543
2002,Technology,Materials,0.537
2002,Technology,Utilities,0.3821
2002,Technology,RealEstate,0.4145
2002,Technology,Communication,0.6832
2002,Financials,Healthcare,0.7323
2002,Financials,Energy,0.671
2002,Financials,ConsumerDiscret,0.7547
2002,Financials,ConsumerStaples,0.6009
2002,Financials,Industrials,0.788
2002,Financials,Materials,0.7565
2002,Financials,Utilities,0.5119
2002,Financials,RealEstate,0.4177
2002,Financials,Communication,0.6897
2002,Healthcare,Energy,0.6954
2002,Healthcare,ConsumerDiscret,0.6101
2002,Healthcare,ConsumerStaples,0.6495
2002,Healthcare,Industrials,0.7325
2002,Healthcare,Materials,0.6666
2002,Healthcare,Utilities,0.4443
2002,Healthcare,RealEstate,0.3153
2002,Healthcare,Communication,0.5815
2002,Energy,ConsumerDiscret,0.6075
2002,Energy,ConsumerStaples,0.5255
2002,Energy,Industrials,0.6755
2002,Energy,Materials,0.6927
2002,Energy,Utilities,0.4726
2002,Energy,RealEstate,0.326
2002,Energy,Communication,0.5433
2002,ConsumerDiscret,ConsumerStaples,0.6402
2002,ConsumerDiscret,Industrials,0.7377
2002,ConsumerDiscret,Materials,0.6683
2002,ConsumerDiscret,Utilities,0.3996
2002,ConsumerDiscret,RealEstate,0.4141
2002,ConsumerDiscret,Communication,0.6243
2002,ConsumerStaples,Industrials,0.6248
2002,ConsumerStaples,Materials,0.581
2002,ConsumerStaples,Utilities,0.3897
2002,ConsumerStaples,RealEstate,0.1584
2002,ConsumerStaples,Communication,0.4209
2002,Industrials,Materials,0.7765
2002,Industrials,Utilities,0.4599
2002,Industrials,RealEstate,0.3731
2002,Industrials,Communication,0.6106
2002,Materials,Utilities,0.4661
2002,Materials,RealEstate,0.3507
2002,Materials,Communication,0.5377
2002,Utilities,RealEstate,0.322
2002,Utilities,Communication,0.4803
2002,RealEstate,Communication,0.4069
2003,Technology,Financials,0.6887
2003,Technology,Healthcare,0.6056
2003,Technology,Energy,0.3613
2003,Technology,ConsumerDiscret,0.7097
2003,Technology,ConsumerStaples,0.5545
2003,Technology,Industrials,0.6834
2003,Technology,Materials,0.5723
2003,Technology,Utilities,0.4454
2003,Technology,RealEstate,0.5176
2003,Technology,Communication,0.6616
2003,Financials,Healthcare,0.7748
2003,Financials,Energy,0.464
2003,Financials,ConsumerDiscret,0.7598
2003,Financials,ConsumerStaples,0.7265
2003,Financials,Industrials,0.8412
2003,Financials,Materials,0.7601
2003,Financials,Utilities,0.6022
2003,Financials,RealEstate,0.4997
2003,Financials,Communication,0.7449
2003,Healthcare,Energy,0.5463
2003,Healthcare,ConsumerDiscret,0.6524
2003,Healthcare,ConsumerStaples,0.6707
2003,Healthcare,Industrials,0.7609
2003,Healthcare,Materials,0.6565
2003,Healthcare,Utilities,0.5757
2003,Healthcare,RealEstate,0.4256
2003,Healthcare,Communication,0.6471
2003,Energy,ConsumerDiscret,0.3875
2003,Energy,ConsumerStaples,0.2936
2003,Energy,Industrials,0.4879
2003,Energy,Materials,0.4732
2003,Energy,Utilities,0.4827
2003,Energy,RealEstate,0.3187
2003,Energy,Communication,0.3853
2003,ConsumerDiscret,ConsumerStaples,0.6895
2003,ConsumerDiscret,Industrials,0.7521
2003,ConsumerDiscret,Materials,0.677
2003,ConsumerDiscret,Utilities,0.4648
2003,ConsumerDiscret,RealEstate,0.4652
2003,ConsumerDiscret,Communication,0.713
2003,ConsumerStaples,Industrials,0.7565
2003,ConsumerStaples,Materials,0.6025
2003,ConsumerStaples,Utilities,0.4867
2003,ConsumerStaples,RealEstate,0.3733
2003,ConsumerStaples,Communication,0.6389
2003,Industrials,Materials,0.7744
2003,Industrials,Utilities,0.563
2003,Industrials,RealEstate,0.4903
2003,Industrials,Communication,0.7015
2003,Materials,Utilities,0.513
2003,Materials,RealEstate,0.4896
2003,Materials,Communication,0.6216
2003,Utilities,RealEstate,0.3581
2003,Utilities,Communication,0.562
2003,RealEstate,Communication,0.4408
2004,Technology,Financials,0.5434
2004,Technology,Healthcare,0.4556
2004,Technology,Energy,0.2357
2004,Technology,ConsumerDiscret,0.5741
2004,Technology,ConsumerStaples,0.4004
2004,Technology,Industrials,0.5572
2004,Technology,Materials,0.4951
2004,Technology,Utilities,0.1805
2004,Technology,RealEstate,0.4222
2004,Technology,Communication,0.5002
2004,Financials,Healthcare,0.623
2004,Financials,Energy,0.3261
2004,Financials,ConsumerDiscret,0.7398
2004,Financials,ConsumerStaples,0.6152
2004,Financials,Industrials,0.72
2004,Financials,Materials,0.6679
2004,Financials,Utilities,0.4988
2004,Financials,RealEstate,0.5644
2004,Financials,Communication,0.4708
2004,Healthcare,Energy,0.2959
2004,Healthcare,ConsumerDiscret,0.5987
2004,Healthcare,ConsumerStaples,0.5969
2004,Healthcare,Industrials,0.6168
2004,Healthcare,Materials,0.4763
2004,Healthcare,Utilities,0.3637
2004,Healthcare,RealEstate,0.4008
2004,Healthcare,Communication,0.4051
2004,Energy,ConsumerDiscret,0.2959
2004,Energy,ConsumerStaples,0.2407
2004,Energy,Industrials,0.4344
2004,Energy,Materials,0.5346
2004,Energy,Utilities,0.4262
2004,Energy,RealEstate,0.3007
2004,Energy,Communication,0.2165
2004,ConsumerDiscret,ConsumerStaples,0.6072
2004,ConsumerDiscret,Industrials,0.6905
2004,ConsumerDiscret,Materials,0.6412
2004,ConsumerDiscret,Utilities,0.3664
2004,ConsumerDiscret,RealEstate,0.5225
2004,ConsumerDiscret,Communication,0.5386
2004,ConsumerStaples,Industrials,0.5656
2004,ConsumerStaples,Materials,0.4947
2004,ConsumerStaples,Utilities,0.3547
2004,ConsumerStaples,RealEstate,0.3977
2004,ConsumerStaples,Communication,0.3384
2004,Industrials,Materials,0.6817
2004,Industrials,Utilities,0.4768
2004,Industrials,RealEstate,0.483
2004,Industrials,Communication,0.4493
2004,Materials,Utilities,0.528
2004,Materials,RealEstate,0.5408
2004,Materials,Communication,0.3758
2004,Utilities,RealEstate,0.503
2004,Utilities,Communication,0.1798
2004,RealEstate,Communication,0.3446
2005,Technology,Financials,0.5395
2005,Technology,Healthcare,0.4551
2005,Technology,Energy,0.2988
2005,Technology,ConsumerDiscret,0.6419
2005,Technology,ConsumerStaples,0.5294
2005,Technology,Industrials,0.6231
2005,Technology,Materials,0.5128
2005,Technology,Utilities,0.4402
2005,Technology,RealEstate,0.4637
2005,Technology,Communication,0.5278
2005,Financials,Healthcare,0.5211
2005,Financials,Energy,0.3256
2005,Financials,ConsumerDiscret,0.6401
2005,Financials,ConsumerStaples,0.6663
2005,Financials,Industrials,0.6975
2005,Financials,Materials,0.6172
2005,Financials,Utilities,0.5954
2005,Financials,RealEstate,0.6077
2005,Financials,Communication,0.5654
2005,Healthcare,Energy,0.1827
2005,Healthcare,ConsumerDiscret,0.5807
2005,Healthcare,ConsumerStaples,0.6361
2005,Healthcare,Industrials,0.5674
2005,Healthcare,Materials,0.4787
2005,Healthcare,Utilities,0.3835
2005,Healthcare,RealEstate,0.4433
2005,Healthcare,Communication,0.4189
2005,Energy,ConsumerDiscret,0.2537
2005,Energy,ConsumerStaples,0.2258
2005,Energy,Industrials,0.4184
2005,Energy,Materials,0.5802
2005,Energy,Utilities,0.5116
2005,Energy,RealEstate,0.3748
2005,Energy,Communication,0.2438
2005,ConsumerDiscret,ConsumerStaples,0.6826
2005,ConsumerDiscret,Industrials,0.7148
2005,ConsumerDiscret,Materials,0.5971
2005,ConsumerDiscret,Utilities,0.476
2005,ConsumerDiscret,RealEstate,0.5548
2005,ConsumerDiscret,Communication,0.5237
2005,ConsumerStaples,Industrials,0.7044
2005,ConsumerStaples,Materials,0.5207
2005,ConsumerStaples,Utilities,0.5216
2005,ConsumerStaples,RealEstate,0.494
2005,ConsumerStaples,Communication,0.5476
2005,Industrials,Materials,0.714
2005,Industrials,Utilities,0.5793
2005,Industrials,RealEstate,0.5408
2005,Industrials,Communication,0.5335
2005,Materials,Utilities,0.5563
2005,Materials,RealEstate,0.568
2005,Materials,Communication,0.4536
2005,Utilities,RealEstate,0.6417
2005,Utilities,Communication,0.452
2005,RealEstate,Communication,0.4793
2006,Technology,Financials,0.6448
2006,Technology,Healthcare,0.5576
2006,Technology,Energy,0.3135
2006,Technology,ConsumerDiscret,0.6244
2006,Technology,ConsumerStaples,0.5454
2006,Technology,Industrials,0.6126
2006,Technology,Materials,0.5702
2006,Technology,Utilities,0.3331
2006,Technology,RealEstate,0.6043
2006,Technology,Communication,0.5813
2006,Financials,Healthcare,0.6871
2006,Financials,Energy,0.2925
2006,Financials,ConsumerDiscret,0.6558
2006,Financials,ConsumerStaples,0.5883
2006,Financials,Industrials,0.7027
2006,Financials,Materials,0.5932
2006,Financials,Utilities,0.4933
2006,Financials,RealEstate,0.6083
2006,Financials,Communication,0.5878
2006,Healthcare,Energy,0.2542
2006,Healthcare,ConsumerDiscret,0.5818
2006,Healthcare,ConsumerStaples,0.6289
2006,Healthcare,Industrials,0.6496
2006,Healthcare,Materials,0.5107
2006,Healthcare,Utilities,0.4513
2006,Healthcare,RealEstate,0.5457
2006,Healthcare,Communication,0.5084
2006,Energy,ConsumerDiscret,0.1369
2006,Energy,ConsumerStaples,0.1093
2006,Energy,Industrials,0.3645
2006,Energy,Materials,0.6511
2006,Energy,Utilities,0.3431
2006,Energy,RealEstate,0.3082
2006,Energy,Communication,0.2677
2006,ConsumerDiscret,ConsumerStaples,0.6018
2006,ConsumerDiscret,Industrials,0.6483
2006,ConsumerDiscret,Materials,0.4692
2006,ConsumerDiscret,Utilities,0.3489
2006,ConsumerDiscret,RealEstate,0.5192
2006,ConsumerDiscret,Communication,0.5434
2006,ConsumerStaples,Industrials,0.5379
2006,ConsumerStaples,Materials,0.3803
2006,ConsumerStaples,Utilities,0.4346
2006,ConsumerStaples,RealEstate,0.4694
2006,ConsumerStaples,Communication,0.4934
2006,Industrials,Materials,0.7112
2006,Industrials,Utilities,0.3652
2006,Industrials,RealEstate,0.5841
2006,Industrials,Communication,0.5489
2006,Materials,Utilities,0.366
2006,Materials,RealEstate,0.5725
2006,Materials,Communication,0.4622
2006,Utilities,RealEstate,0.3664
2006,Utilities,Communication,0.3435
2006,RealEstate,Communication,0.4855
2007,Technology,Financials,0.646
2007,Technology,Healthcare,0.6852
2007,Technology,Energy,0.5747
2007,Technology,ConsumerDiscret,0.6887
2007,Technology,ConsumerStaples,0.6649
2007,Technology,Industrials,0.7458
2007,Technology,Materials,0.6738
2007,Technology,Utilities,0.543
2007,Technology,RealEstate,0.6785
2007,Technology,Communication,0.7226
2007,Financials,Healthcare,0.777
2007,Financials,Energy,0.5674
2007,Financials,ConsumerDiscret,0.7671
2007,Financials,ConsumerStaples,0.7583
2007,Financials,Industrials,0.7527
2007,Financials,Materials,0.7332
2007,Financials,Utilities,0.6233
2007,Financials,RealEstate,0.7782
2007,Financials,Communication,0.6303
2007,Healthcare,Energy,0.5656
2007,Healthcare,ConsumerDiscret,0.7667
2007,Healthcare,ConsumerStaples,0.8121
2007,Healthcare,Industrials,0.7876
2007,Healthcare,Materials,0.7388
2007,Healthcare,Utilities,0.709
2007,Healthcare,RealEstate,0.7059
2007,Healthcare,Communication,0.6624
2007,Energy,ConsumerDiscret,0.5714
2007,Energy,ConsumerStaples,0.5814
2007,Energy,Industrials,0.6721
2007,Energy,Materials,0.753
2007,Energy,Utilities,0.5752
2007,Energy,RealEstate,0.5408
2007,Energy,Communication,0.6049
2007,ConsumerDiscret,ConsumerStaples,0.7388
2007,ConsumerDiscret,Industrials,0.7658
2007,ConsumerDiscret,Materials,0.7569
2007,ConsumerDiscret,Utilities,0.6004
2007,ConsumerDiscret,RealEstate,0.7236
2007,ConsumerDiscret,Communication,0.6748
2007,ConsumerStaples,Industrials,0.7657
2007,ConsumerStaples,Materials,0.7418
2007,ConsumerStaples,Utilities,0.7091
2007,ConsumerStaples,RealEstate,0.667
2007,ConsumerStaples,Communication,0.6607
2007,Industrials,Materials,0.8162
2007,Industrials,Utilities,0.6536
2007,Industrials,RealEstate,0.7126
2007,Industrials,Communication,0.7114
2007,Materials,Utilities,0.6281
2007,Materials,RealEstate,0.7402
2007,Materials,Communication,0.7006
2007,Utilities,RealEstate,0.6211
2007,Utilities,Communication,0.5536
2007,RealEstate,Communication,0.6014
2008,Technology,Financials,0.7509
2008,Technology,Healthcare,0.8036
2008,Technology,Energy,0.7568
2008,Technology,ConsumerDiscret,0.8326
2008,Technology,ConsumerStaples,0.7578
2008,Technology,Industrials,0.8678
2008,Technology,Materials,0.823
2008,Technology,Utilities,0.7118
2008,Technology,RealEstate,0.7922
2008,Technology,Communication,0.88
2008,Financials,Healthcare,0.7583
2008,Financials,Energy,0.5948
2008,Financials,ConsumerDiscret,0.8403
2008,Financials,ConsumerStaples,0.7042
2008,Financials,Industrials,0.7881
2008,Financials,Materials,0.7245
2008,Financials,Utilities,0.5847
2008,Financials,RealEstate,0.8343
2008,Financials,Communication,0.7958
2008,Healthcare,Energy,0.7621
2008,Healthcare,ConsumerDiscret,0.7905
2008,Healthcare,ConsumerStaples,0.8769
2008,Healthcare,Industrials,0.8621
2008,Healthcare,Materials,0.7804
2008,Healthcare,Utilities,0.8386
2008,Healthcare,RealEstate,0.7421
2008,Healthcare,Communication,0.8698
2008,Energy,ConsumerDiscret,0.64
2008,Energy,ConsumerStaples,0.6866
2008,Energy,Industrials,0.8181
2008,Energy,Materials,0.8805
2008,Energy,Utilities,0.782
2008,Energy,RealEstate,0.6245
2008,Energy,Communication,0.7593
2008,ConsumerDiscret,ConsumerStaples,0.8077
2008,ConsumerDiscret,Industrials,0.8616
2008,ConsumerDiscret,Materials,0.7794
2008,ConsumerDiscret,Utilities,0.6564
2008,ConsumerDiscret,RealEstate,0.845
2008,ConsumerDiscret,Communication,0.8769
2008,ConsumerStaples,Industrials,0.8304
2008,ConsumerStaples,Materials,0.725
2008,ConsumerStaples,Utilities,0.8304
2008,ConsumerStaples,RealEstate,0.7165
2008,ConsumerStaples,Communication,0.8492
2008,Industrials,Materials,0.889
2008,Industrials,Utilities,0.7779
2008,Industrials,RealEstate,0.8274
2008,Industrials,Communication,0.8949
2008,Materials,Utilities,0.7205
2008,Materials,RealEstate,0.7859
2008,Materials,Communication,0.8294
2008,Utilities,RealEstate,0.6091
2008,Utilities,Communication,0.7912
2008,RealEstate,Communication,0.8143
2009,Technology,Financials,0.6638
2009,Technology,Healthcare,0.5903
2009,Technology,Energy,0.7635
2009,Technology,ConsumerDiscret,0.799
2009,Technology,ConsumerStaples,0.5817
2009,Technology,Industrials,0.7869
2009,Technology,Materials,0.8156
2009,Technology,Utilities,0.5385
2009,Technology,RealEstate,0.7572
2009,Technology,Communication,0.8256
2009,Financials,Healthcare,0.5286
2009,Financials,Energy,0.6887
2009,Financials,ConsumerDiscret,0.6479
2009,Financials,ConsumerStaples,0.4717
2009,Financials,Industrials,0.7177
2009,Financials,Materials,0.6572
2009,Financials,Utilities,0.3993
2009,Financials,RealEstate,0.8245
2009,Financials,Communication,0.6973
2009,Healthcare,Energy,0.604
2009,Healthcare,ConsumerDiscret,0.5837
2009,Healthcare,ConsumerStaples,0.7451
2009,Healthcare,Industrials,0.6744
2009,Healthcare,Materials,0.6023
2009,Healthcare,Utilities,0.6287
2009,Healthcare,RealEstate,0.5515
2009,Healthcare,Communication,0.6327
2009,Energy,ConsumerDiscret,0.6892
2009,Energy,ConsumerStaples,0.5858
2009,Energy,Industrials,0.8166
2009,Energy,Materials,0.8235
2009,Energy,Utilities,0.6034
2009,Energy,RealEstate,0.7319
2009,Energy,Communication,0.7548
2009,ConsumerDiscret,ConsumerStaples,0.6162
2009,ConsumerDiscret,Industrials,0.796
2009,ConsumerDiscret,Materials,0.7798
2009,ConsumerDiscret,Utilities,0.5249
2009,ConsumerDiscret,RealEstate,0.7498
2009,ConsumerDiscret,Communication,0.7688
2009,ConsumerStaples,Industrials,0.6654
2009,ConsumerStaples,Materials,0.6284
2009,ConsumerStaples,Utilities,0.6354
2009,ConsumerStaples,RealEstate,0.5741
2009,ConsumerStaples,Communication,0.6674
2009,Industrials,Materials,0.8316
2009,Industrials,Utilities,0.6211
2009,Industrials,RealEstate,0.7783
2009,Industrials,Communication,0.7916
2009,Materials,Utilities,0.5639
2009,Materials,RealEstate,0.7605
2009,Materials,Communication,0.7683
2009,Utilities,RealEstate,0.456
2009,Utilities,Communication,0.5695
2009,RealEstate,Communication,0.7636
2010,Technology,Financials,0.7424
2010,Technology,Healthcare,0.7308
2010,Technology,Energy,0.7576
2010,Technology,ConsumerDiscret,0.7837
2010,Technology,ConsumerStaples,0.6788
2010,Technology,Industrials,0.8306
2010,Technology,Materials,0.7617
2010,Technology,Utilities,0.6798
2010,Technology,RealEstate,0.7576
2010,Technology,Communication,0.7221
2010,Financials,Healthcare,0.7134
2010,Financials,Energy,0.7606
2010,Financials,ConsumerDiscret,0.7292
2010,Financials,ConsumerStaples,0.6135
2010,Financials,Industrials,0.8023
2010,Financials,Materials,0.7564
2010,Financials,Utilities,0.6382
2010,Financials,RealEstate,0.7652
2010,Financials,Communication,0.6814
2010,Healthcare,Energy,0.7781
2010,Healthcare,ConsumerDiscret,0.6857
2010,Healthcare,ConsumerStaples,0.7439
2010,Healthcare,Industrials,0.8136
2010,Healthcare,Materials,0.7639
2010,Healthcare,Utilities,0.7506
2010,Healthcare,RealEstate,0.7295
2010,Healthcare,Communication,0.6836
2010,Energy,ConsumerDiscret,0.7443
2010,Energy,ConsumerStaples,0.6684
2010,Energy,Industrials,0.8563
2010,Energy,Materials,0.8508
2010,Energy,Utilities,0.7622
2010,Energy,RealEstate,0.7681
2010,Energy,Communication,0.6954
2010,ConsumerDiscret,ConsumerStaples,0.6663
2010,ConsumerDiscret,Industrials,0.8239
2010,ConsumerDiscret,Materials,0.7618
2010,ConsumerDiscret,Utilities,0.6173
2010,ConsumerDiscret,RealEstate,0.8051
2010,ConsumerDiscret,Communication,0.7453
2010,ConsumerStaples,Industrials,0.741
2010,ConsumerStaples,Materials,0.7101
2010,ConsumerStaples,Utilities,0.7643
2010,ConsumerStaples,RealEstate,0.6632
2010,ConsumerStaples,Communication,0.6657
2010,Industrials,Materials,0.8683
2010,Industrials,Utilities,0.7442
2010,Industrials,RealEstate,0.8096
2010,Industrials,Communication,0.7551
2010,Materials,Utilities,0.7142
2010,Materials,RealEstate,0.7843
2010,Materials,Communication,0.7248
2010,Utilities,RealEstate,0.701
2010,Utilities,Communication,0.6689
2010,RealEstate,Communication,0.738
2011,Technology,Financials,0.7717
2011,Technology,Healthcare,0.83
2011,Technology,Energy,0.8133
2011,Technology,ConsumerDiscret,0.8547
2011,Technology,ConsumerStaples,0.7282
2011,Technology,Industrials,0.8779
2011,Technology,Materials,0.8322
2011,Technology,Utilities,0.674
2011,Technology,RealEstate,0.8054
2011,Technology,Communication,0.7992
2011,Financials,Healthcare,0.8247
2011,Financials,Energy,0.8042
2011,Financials,ConsumerDiscret,0.8007
2011,Financials,ConsumerStaples,0.7423
2011,Financials,Industrials,0.8656
2011,Financials,Materials,0.8284
2011,Financials,Utilities,0.7526
2011,Financials,RealEstate,0.848
2011,Financials,Communication,0.7688
2011,Healthcare,Energy,0.8099
2011,Healthcare,ConsumerDiscret,0.8503
2011,Healthcare,ConsumerStaples,0.8502
2011,Healthcare,Industrials,0.911
2011,Healthcare,Materials,0.8577
2011,Healthcare,Utilities,0.8217
2011,Healthcare,RealEstate,0.8347
2011,Healthcare,Communication,0.8075
2011,Energy,ConsumerDiscret,0.7792
2011,Energy,ConsumerStaples,0.7169
2011,Energy,Industrials,0.8838
2011,Energy,Materials,0.8986
2011,Energy,Utilities,0.6988
2011,Energy,RealEstate,0.8032
2011,Energy,Communication,0.7842
2011,ConsumerDiscret,ConsumerStaples,0.7794
2011,ConsumerDiscret,Industrials,0.8787
2011,ConsumerDiscret,Materials,0.8492
2011,ConsumerDiscret,Utilities,0.7157
2011,ConsumerDiscret,RealEstate,0.8446
2011,ConsumerDiscret,Communication,0.8198
2011,ConsumerStaples,Industrials,0.8121
2011,ConsumerStaples,Materials,0.7607
2011,ConsumerStaples,Utilities,0.8046
2011,ConsumerStaples,RealEstate,0.7394
2011,ConsumerStaples,Communication,0.7062
2011,Industrials,Materials,0.9062
2011,Industrials,Utilities,0.7678
2011,Industrials,RealEstate,0.8599
2011,Industrials,Communication,0.8308
2011,Materials,Utilities,0.7008
2011,Materials,RealEstate,0.8337
2011,Materials,Communication,0.8063
2011,Utilities,RealEstate,0.7611
2011,Utilities,Communication,0.7151
2011,RealEstate,Communication,0.8052
2012,Technology,Financials,0.6866
2012,Technology,Healthcare,0.6587
2012,Technology,Energy,0.7087
2012,Technology,ConsumerDiscret,0.684
2012,Technology,ConsumerStaples,0.5505
2012,Technology,Industrials,0.7846
2012,Technology,Materials,0.735
2012,Technology,Utilities,0.2706
2012,Technology,RealEstate,0.5689
2012,Technology,Communication,0.5826
2012,Financials,Healthcare,0.6704
2012,Financials,Energy,0.6993
2012,Financials,ConsumerDiscret,0.6471
2012,Financials,ConsumerStaples,0.5402
2012,Financials,Industrials,0.7555
2012,Financials,Materials,0.6706
2012,Financials,Utilities,0.3537
2012,Financials,RealEstate,0.6237
2012,Financials,Communication,0.5641
2012,Healthcare,Energy,0.6743
2012,Healthcare,ConsumerDiscret,0.5999
2012,Healthcare,ConsumerStaples,0.7042
2012,Healthcare,Industrials,0.7595
2012,Healthcare,Materials,0.6237
2012,Healthcare,Utilities,0.4804
2012,Healthcare,RealEstate,0.5859
2012,Healthcare,Communication,0.5186
2012,Energy,ConsumerDiscret,0.6285
2012,Energy,ConsumerStaples,0.572
2012,Energy,Industrials,0.7815
2012,Energy,Materials,0.7642
2012,Energy,Utilities,0.389
2012,Energy,RealEstate,0.5422
2012,Energy,Communication,0.5732
2012,ConsumerDiscret,ConsumerStaples,0.5607
2012,ConsumerDiscret,Industrials,0.7174
2012,ConsumerDiscret,Materials,0.6904
2012,ConsumerDiscret,Utilities,0.3385
2012,ConsumerDiscret,RealEstate,0.6016
2012,ConsumerDiscret,Communication,0.5705
2012,ConsumerStaples,Industrials,0.6257
2012,ConsumerStaples,Materials,0.5138
2012,ConsumerStaples,Utilities,0.5852
2012,ConsumerStaples,RealEstate,0.5793
2012,ConsumerStaples,Communication,0.5127
2012,Industrials,Materials,0.7876
2012,Industrials,Utilities,0.3963
2012,Industrials,RealEstate,0.6128
2012,Industrials,Communication,0.6079
2012,Materials,Utilities,0.3017
2012,Materials,RealEstate,0.5704
2012,Materials,Communication,0.602
2012,Utilities,RealEstate,0.4314
2012,Utilities,Communication,0.3036
2012,RealEstate,Communication,0.471
2013,Technology,Financials,0.6173
2013,Technology,Healthcare,0.4823
2013,Technology,Energy,0.5459
2013,Technology,ConsumerDiscret,0.5384
2013,Technology,ConsumerStaples,0.4156
2013,Technology,Industrials,0.6108
2013,Technology,Materials,0.5761
2013,Technology,Utilities,0.3821
2013,Technology,RealEstate,0.4387
2013,Technology,Communication,0.4755
2013,Financials,Healthcare,0.7052
2013,Financials,Energy,0.7372
2013,Financials,ConsumerDiscret,0.6512
2013,Financials,ConsumerStaples,0.5541
2013,Financials,Industrials,0.7692
2013,Financials,Materials,0.6736
2013,Financials,Utilities,0.5007
2013,Financials,RealEstate,0.4854
2013,Financials,Communication,0.5963
2013,Healthcare,Energy,0.6172
2013,Healthcare,ConsumerDiscret,0.6058
2013,Healthcare,ConsumerStaples,0.7561
2013,Healthcare,Industrials,0.7332
2013,Healthcare,Materials,0.5718
2013,Healthcare,Utilities,0.5694
2013,Healthcare,RealEstate,0.5705
2013,Healthcare,Communication,0.5929
2013,Energy,ConsumerDiscret,0.5846
2013,Energy,ConsumerStaples,0.5203
2013,Energy,Industrials,0.7338
2013,Energy,Materials,0.7666
2013,Energy,Utilities,0.4875
2013,Energy,RealEstate,0.4888
2013,Energy,Communication,0.5397
2013,ConsumerDiscret,ConsumerStaples,0.5428
2013,ConsumerDiscret,Industrials,0.652
2013,ConsumerDiscret,Materials,0.5805
2013,ConsumerDiscret,Utilities,0.3914
2013,ConsumerDiscret,RealEstate,0.489
2013,ConsumerDiscret,Communication,0.5889
2013,ConsumerStaples,Industrials,0.6027
2013,ConsumerStaples,Materials,0.4783
2013,ConsumerStaples,Utilities,0.6579
2013,ConsumerStaples,RealEstate,0.5959
2013,ConsumerStaples,Communication,0.5149
2013,Industrials,Materials,0.7592
2013,Industrials,Utilities,0.5599
2013,Industrials,RealEstate,0.552
2013,Industrials,Communication,0.6071
2013,Materials,Utilities,0.5118
2013,Materials,RealEstate,0.5556
2013,Materials,Communication,0.498
2013,Utilities,RealEstate,0.6736
2013,Utilities,Communication,0.4181
2013,RealEstate,Communication,0.4781
2014,Technology,Financials,0.6891
2014,Technology,Healthcare,0.6457
2014,Technology,Energy,0.5335
2014,Technology,ConsumerDiscret,0.6552
2014,Technology,ConsumerStaples,0.5007
2014,Technology,Industrials,0.7098
2014,Technology,Materials,0.6093
2014,Technology,Utilities,0.1947
2014,Technology,RealEstate,0.5575
2014,Technology,Communication,0.6789
2014,Financials,Healthcare,0.7348
2014,Financials,Energy,0.5185
2014,Financials,ConsumerDiscret,0.6934
2014,Financials,ConsumerStaples,0.549
2014,Financials,Industrials,0.7714
2014,Financials,Materials,0.6338
2014,Financials,Utilities,0.2187
2014,Financials,RealEstate,0.4938
2014,Financials,Communication,0.6688
2014,Healthcare,Energy,0.5109
